g100072_68274_1 100 217
g100072_68274_1 369 504
g100072_68274_1 614 695
g100072_68274_1 847 1022
g100072_68274_1 1119 1256
g100072_68274_1 1347 1486
g100072_68274_1 1585 1820

g10009_68274_1 100 450
g10009_68274_1 552 668
g10009_68274_1 747 824

g100144_68273_1 100 276
g100144_68273_1 355 466
g100144_68273_1 545 614
g100144_68273_1 696 792
g100144_68273_1 966 1115
g100144_68273_1 1208 1334
g100144_68273_1 1426 1538
g100144_68273_1 1612 1675
g100144_68273_1 1744 1837
g100144_68273_1 1912 2020
g100144_68273_1 2154 2255

g100165_68271_1 100 408
g100165_68271_1 1298 2229
g100165_68271_1 2303 2780

g100279_68274_1 100 271
g100279_68274_1 361 488
g100279_68274_1 593 653
g100279_68274_1 740 788
g100279_68274_1 921 975
g100279_68274_1 1062 1149
g100279_68274_1 1244 1362
g100279_68274_1 1455 1517

g100283_68272_1 100 336
g100283_68272_1 418 1341

g100293_68275_1 100 224
g100293_68275_1 752 1007

g10032_68273_1 100 180
g10032_68273_1 272 334
g10032_68273_1 410 457
g10032_68273_1 570 623
g10032_68273_1 707 767
g10032_68273_1 852 892

g100336_68272_1 100 210
g100336_68272_1 389 760
g100336_68272_1 1061 1147
g100336_68272_1 1340 1381
g100336_68272_1 1523 1567
g100336_68272_1 2297 2362
g100336_68272_1 2456 2512
g100336_68272_1 2603 2664
g100336_68272_1 2917 3037
g100336_68272_1 3238 3315
g100336_68272_1 3417 3523
g100336_68272_1 3653 3683

g100372_68274_1 100 288
g100372_68274_1 385 549
g100372_68274_1 639 795
g100372_68274_1 889 974
g100372_68274_1 1061 1260
g100372_68274_1 1370 1628
g100372_68274_1 1706 1912
g100372_68274_1 2006 2143

g100411_68271_1 100 375
g100411_68271_1 573 818
g100411_68271_1 924 1330
g100411_68271_1 1623 1808
g100411_68271_1 1908 2100
g100411_68271_1 2185 2261
g100411_68271_1 2341 2491
g100411_68271_1 2578 2874

g10042_68272_1 100 102
g10042_68272_1 496 573
g10042_68272_1 657 837
g10042_68272_1 953 1050
g10042_68272_1 1215 1640

g10044_68274_1 100 444

g100460_68274_1 100 591
g100460_68274_1 1106 1222
g100460_68274_1 1307 1485
g100460_68274_1 1569 1662
g100460_68274_1 1753 1830
g100460_68274_1 1918 2019
g100460_68274_1 2105 2245

g100465_68274_1 100 224
g100465_68274_1 311 457
g100465_68274_1 1128 1674

g100484_68275_1 100 743
g100484_68275_1 961 1171
g100484_68275_1 1288 1530

g100525_68275_1 100 429
g100525_68275_1 1068 1208
g100525_68275_1 1285 1425
g100525_68275_1 1541 1647
g100525_68275_1 2334 2532

g100534_68271_1 100 102
g100534_68271_1 475 627
g100534_68271_1 1479 1727
g100534_68271_1 1815 1911
g100534_68271_1 2161 2458
g100534_68271_1 2544 2895

g100571_68271_1 100 655
g100571_68271_1 927 1414
g100571_68271_1 1505 1600
g100571_68271_1 1949 2620

g100590_68273_1 100 337
g100590_68273_1 425 543
g100590_68273_1 634 763
g100590_68273_1 885 1103
g100590_68273_1 1446 1570

g100676_68274_1 100 481
g100676_68274_1 742 1772

g100688_68274_1 100 1047

g10077_68271_1 100 222
g10077_68271_1 413 532

g100777_68273_1 100 549
g100777_68273_1 1019 1122
g100777_68273_1 1378 1606
g100777_68273_1 1698 1844

g100969_68275_1 100 199
g100969_68275_1 302 615
g100969_68275_1 802 1218
g100969_68275_1 1370 1579
g100969_68275_1 1952 2212

g100990_68273_1 100 309
g100990_68273_1 861 1058
g100990_68273_1 1243 1408
g100990_68273_1 1518 1933

g10103_68274_1 100 486

g101030_68275_1 100 178
g101030_68275_1 272 462
g101030_68275_1 654 794
g101030_68275_1 884 1020
g101030_68275_1 1122 1176
g101030_68275_1 1265 1375
g101030_68275_1 1743 1982
g101030_68275_1 2333 2845

g101035_68273_1 100 819
g101035_68273_1 1520 1920
g101035_68273_1 2275 2335
g101035_68273_1 2673 3218

g101081_68272_1 100 903

g1011_68272_1 100 327
g1011_68272_1 421 500
g1011_68272_1 648 798

g10117_68275_1 100 177
g10117_68275_1 284 374
g10117_68275_1 1193 1325
g10117_68275_1 1576 1645
g10117_68275_1 1838 1898
g10117_68275_1 1989 2080

